"ADVERTISER","TARGETED COUNTRIES","LINK ID","NAME","DESCRIPTION","KEYWORDS","LINK TYPE","THREE MONTH EPC","SEVEN DAY EPC","LAST UDPATED","HTML LINKS","JAVASCRIPT LINKS","CLICK URL","PROMOTION TYPE","COUPON CODE","PROMOTIONAL DATE","PROMOTIONAL END DATE","CATEGORY","ADV_CID","RELATIONSHIP STATUS","LANGUAGE","MOBILE OPTIMIZED"
"Undercovertourist.com","","12834933","Save $28 on Universal 3-Day Base Ticket with Volcano Bay!","Save $28 on Universal 3-Day Base Ticket with Volcano Bay!","annual price rise, low prices, undercover tourist, universal orlando, universal studios, islands of adventure, orlando, florida, wizarding world of harry potter, theme park tickets, discount tickets, save time, save money, skip the lines, undercover tourist, base ticket, park to park, disney world","Text Link","N/A","N/A","25-Apr-2023","<a href=""https://www.tkqlhce.com/click-101693488-12834933"" target=""_top"">Save $28 on Universal 3-Day Base Ticket with Volcano Bay!</a><img src=""https://www.awltovhc.com/image-101693488-12834933"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-57586597?target=_top&mouseover=N""></script>","https://www.anrdoezrs.net/click-101693488-12834933","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","12983229","Save $60 on Universal 3-Park 3-Day Park to Park Ticket!","Save $60 on Universal 3-Park 3-Day Park to Park! Visit Universal's Volcano Bay Water Theme Park.","universal studios, universal orlando, florida, universal's volcano bay, theme parks, water park, universal's islands of adventure, wizarding world of harry potter, undercover tourist, discount tickets, amusement parks, attractions, skip the lines, save time, save money, resorts, hotels, car rentals, tourism, travel","Text Link","$0.00 USD","N/A","25-Apr-2023","<a href=""https://www.dpbolvw.net/click-101693488-12983229"" target=""_top"">Save $60 on Universal 3-Park 3-Day Park to Park! Visit Universal's Volcano Bay Water Theme Park. </a><img src=""https://www.tqlkg.com/image-101693488-12983229"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57586598?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101693488-12983229","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","13012465","Los Angeles Discount Attraction Tickets","Skip the lines and save money on Los Angeles attractions, like Universal Studios Hollywood, Six Flags Magic Mountain and Knott's Berry Farm!","los angeles, attractions, undercover tourist, universal studios hollywood, california, vacation, knott's berry farm, six flags magic mountain, discount tickets, theme parks, amusement parks, tourism, travel, resorts, hotels, car rentals, discount tickets, save time, save money, skip the lines, orlando, florida, disney world, wizarding world of harry potter, universal orlando, seaworld, legoland","Text Link","$0.00 USD","N/A","25-Apr-2023","<a href=""https://www.anrdoezrs.net/click-101693488-13012465"" target=""_top"">Skip the lines and save money on Los Angeles attractions, like Universal Studios Hollywood, Six Flags Magic Mountain and Knott's Berry Farm!</a><img src=""https://www.tqlkg.com/image-101693488-13012465"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57586599?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101693488-13012465","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","13278616","Save $12 on 4-Day FL Resident Disney Select Park Hopper Plus Option!","Save $12 on 4-Day FL Resident Disney Select Park Hopper Plus Option!","undercover tourist, travel, tourism, family vacations, disney world, walt disney world resort, orlando, florida, lake buena vista, magic kingdom, epcot, disney's hollywood studios, disney's animal kingdom, theme parks, amusement parks, save money, skip the lines, universal orlando, seaworld, disneyland, car rentals, resorts, hotels","Text Link","$0.00 USD","N/A","25-Apr-2023","<a href=""https://www.anrdoezrs.net/click-101693488-13278616"" target=""_top"">Save $12 on 4-Day FL Resident Disney Select Park Hopper Plus Option!</a><img src=""https://www.ftjcfx.com/image-101693488-13278616"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57586603?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101693488-13278616","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","13304368","Save up to $10 on Mickey's Very Merry Christmas Party Ticket!","Save up to $10 on Mickey's Very Merry Christmas Party Ticket!","Undercover Tourist, magic kingdom park, mickey's very merry christmas party ticket, discount tickets, theme parks, disney world, orlando, florida, disney, walt disney, attractions, skip the lines, travel, resorts, hotels, car rentals, universal studios, family vacations, skip the lines, save money, save time","Text Link","$0.42 USD","N/A","25-Apr-2023","<a href=""https://www.anrdoezrs.net/click-101693488-13304368"" target=""_top"">Save up to $10 on Mickey's Very Merry Christmas Party Ticket!</a><img src=""https://www.lduhtrp.net/image-101693488-13304368"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57586605?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101693488-13304368","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","13333781","Now Offering Disneyland Resort California Tickets! 180x150","<link>Now offering Disneyland Resort California tickets!</link>","undercover tourist, disneyland resort, disneyland park, disney california adventure park, disney, discount tickets, theme parks, amusement parks, travel tourism, park hoppers, magic your way, base tickets, walt disney world resort, orlando, california, florida, los angeles, car rentals, hotels, disney hotels, resorts, theme park tickets","Banner","$11.46 USD","N/A","25-Apr-2023","<a href=""https://www.anrdoezrs.net/click-101693488-13333781"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101693488-13333781"" width=""180"" height=""150"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-57586606?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101693488-13333781","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","13333782","Now Offering Disneyland Resort California Tickets! 250x250","<link>Now offering Disneyland Resort California tickets!</link>","undercover tourist, disneyland park, disneyland resort, disney california adventure park, california, florida, disney world, resorts, hotels, disney resorts, theme park tickets, disney hotels, discount tickets, travel, tourism, park hoppers, magic your way, base tickets, universal orlando, family vacations, skip the lines","Banner","$0.00 USD","N/A","25-Apr-2023","<a href=""https://www.tkqlhce.com/click-101693488-13333782"" target=""_top""> <img src=""https://www.tqlkg.com/image-101693488-13333782"" width=""250"" height=""250"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57586607?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101693488-13333782","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","13333780","Now Offering Disneyland Resort California Tickets! 120x600","<link>Now offering Disneyland Resort California tickets!</link>","undercover tourist, disneyland resort, disneyland park, disney california adventure park, california, anaheim, los angeles, discount tickets, theme parks, amusement parks, attractions, travel, tourism, family vacations, disney world, disney, walt disney, orlando, florida, car rentals, hotels, disney hotels, resorts, universal orlando","Banner","$3.82 USD","N/A","25-Apr-2023","<a href=""https://www.dpbolvw.net/click-101693488-13333780"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101693488-13333780"" width=""120"" height=""600"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-57586608?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101693488-13333780","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","13333708","Save $26 on 4-Day Disneyland Resort Park Hopper!","Save $26 on 4-Day Disneyland Resort Park Hopper!","undercover tourist, disneyland resort, disneyland park, disney california adventure park, los angeles, california, anaheim, discount tickets, theme parks, amusement parks, attractions, tourism, travel, family vacations, walt disney world resort, car rentals, hotels, resorts, disney hotels, universal studios, universal orlando, seaworld","Text Link","$9.61 USD","N/A","25-Apr-2023","<a href=""https://www.kqzyfj.com/click-101693488-13333708"" target=""_top"">Save $26 on 4-Day Disneyland Resort Park Hopper!</a><img src=""https://www.tqlkg.com/image-101693488-13333708"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.kqzyfj.com/placeholder-57586610?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101693488-13333708","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","13334545","Now Offering Disneyland Resort California Tickets! 300x600","<link>Now offering Disneyland Resort California tickets!</link>","undercover tourist, disneyland resort, disneyland park, disney california adventure park, disney tickets, discount tickets, theme park tickets, theme parks, amusement parks, attractions, tourism, travel, park hoppers, magic your way, base tickets, skip the lines, car rentals, hotels, disney hotels, resorts, family vacations, walt disney world resort, orlando, california, florida, los angeles","Banner","$1.35 USD","N/A","25-Apr-2023","<a href=""https://www.kqzyfj.com/click-101693488-13334545"" target=""_top""> <img src=""https://www.lduhtrp.net/image-101693488-13334545"" width=""300"" height=""600"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-57586611?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101693488-13334545","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","12505688","Save money on Disney's Animal Kingdom Lodge Resort! 160x600 ","Cozy up to savings and save money on Disney's Animal Kingdom Lodge Resort - a Frog Family Favorite!","undercover tourist, hotels, resorts, disney's animal kingdom lodge, villas, walt disney world, discounts, family vacations, disney's animal kingdom, magic kingdom, epcot, disney's hollywood studios, lake buena vista, florida, theme parks, travel, tourism, amusement parks, save money","Banner","N/A","N/A","25-Apr-2023","<a href=""https://www.kqzyfj.com/click-101693488-12505688"" target=""_top""> <img src=""https://www.awltovhc.com/image-101693488-12505688"" width=""160"" height=""600"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57586582?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101693488-12505688","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","13168022","Get discounts on top Park City ski resorts & hotels!","Get discounts on top Park City ski resorts & hotels!","park city, ski resorts, ski hotels, ski, ski lift tickets, discount tickets, undercover tourist, save time, save money, resorts, hotels, travel, tourism, car rentals, disney world, orlando, florida, top cities, attractions, universal studios","Text Link","N/A","N/A","25-Apr-2023","<a href=""https://www.tkqlhce.com/click-101693488-13168022"" target=""_top"">Get discounts on top Park City ski resorts & hotels!</a><img src=""https://www.ftjcfx.com/image-101693488-13168022"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-57586602?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101693488-13168022","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","GB, CA, US","10804848","Undercover Tourist - 200x200","Stop paying full price! Now offering California & Orlando attraction tickets.We ship authentic Disney tickets, direct to your door, for less than gate price.","california, san diego, los angeles, disney tickets, attraction tickets, nicest refund policy, orlando, tickets, disney, universal, seaworld, medieval times, tourist attractions, universal orlando tickets, ticket specials, free shipping, discount prices, refund policy, trusted, customer service, undercover tourist, tourist information, 200x200","Banner","$0.15 USD","N/A","25-Apr-2023","<a href=""https://www.anrdoezrs.net/click-101693488-10804848"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101693488-10804848"" width=""200"" height=""200"" alt=""Discount Attraction Tickets"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-57586580?target=_top&mouseover=N""></script>","https://www.anrdoezrs.net/click-101693488-10804848","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","10803954","Undercover Tourist - 300x250","Stop paying full price! Now offering Disney hotels, car rentals and California & Orlando attraction tickets.We ship authentic Disney tickets, direct to your door, for less than gate price.","disney tickets, attraction tickets, nicest refund policy, orlando, tickets, disney, universal, seaworld, medieval times, tourist attractions, universal orlando tickets, ticket specials, free shipping, discount prices, refund policy, trusted, customer service, undercover tourist, tourist information, 300x250, disney resorts, disney hotels, discount tickets, save time, save money, family vacations","Banner","$1.92 USD","N/A","25-Apr-2023","<a href=""https://www.kqzyfj.com/click-101693488-10803954"" target=""_top""> <img src=""https://www.tqlkg.com/image-101693488-10803954"" width=""300"" height=""250"" alt=""Undercover Tourist "" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57586579?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101693488-10803954","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","12505716","Save money on Disney's Coronado Springs Resort! 250x250","Cozy up to savings and save money on Disney's Coronado Springs Resort - a frog family favorite!","undercover tourist, hotels, resorts, disney's coronado springs resort, deluxe resorts, value resorts, moderate resorts, villas, walt disney world, discounts, family vacations, disney's animal kingdom, magic kingdom, epcot, disney's hollywood studios, lake buena vista, florida, theme parks, travel, tourism, amusement parks, save money","Banner","N/A","N/A","25-Apr-2023","<a href=""https://www.anrdoezrs.net/click-101693488-12505716"" target=""_top""> <img src=""https://www.awltovhc.com/image-101693488-12505716"" width=""250"" height=""250"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-57586585?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101693488-12505716","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","13050213","Save on Epic 7-Day Pass!","Save on Epic 7-Day Pass! Get seven unrestricted ski days at 24 resorts during the 2018-2019 season.","undercover tourist, ski, epic ski pass, vail resorts, colorado, denver, vail, ski lift, ski vacations, ski resorts, discount tickets, theme parks, attractions, tourism, travel destinations, family vacations, skip the lines, save time, save money, ski season, walt disney world resort, breckenridge, hotels, car rentals","Text Link","$3.53 USD","N/A","25-Apr-2023","<a href=""https://www.jdoqocy.com/click-101693488-13050213"" target=""_top"">Save on Epic 7-Day Pass! Get seven unrestricted ski days at 24 resorts during the 2018-2019 season.</a><img src=""https://www.awltovhc.com/image-101693488-13050213"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57586600?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101693488-13050213","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","11441099","Buy 4 Days to Disney World, Get 1 Day FREE 300x250","Buy 4 Days to Disney World, Get 1 Day FREE 300x250","undercover tourist, undercovertourist, walt disney world, disney, orlando, florida, tickets, 300x250","Banner","$0.05 USD","N/A","25-Apr-2023","<a href=""https://www.dpbolvw.net/click-101693488-11441099"" target=""_top""> <img src=""https://www.lduhtrp.net/image-101693488-11441099"" width=""300"" height=""250"" alt=""Discount Disney Tickets"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-57586581?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101693488-11441099","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","5527126","Save $4 - Kids Eat Free Orlando Card","Undercover Tourist offers discount Kids Eat Free Orlando Cards.","Kids Eat Free, discount Kids Eat Free, Kids Eat Free in Orlando","Text Link","$0.00 USD","N/A","25-Apr-2023","<a href=""https://www.anrdoezrs.net/click-101693488-5527126"" target=""_top"">Save $4 on Kids Eat Free Orlando Card!</a><img src=""https://www.lduhtrp.net/image-101693488-5527126"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-57586578?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101693488-5527126","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","12540778","Save up to $88 on SeaWorld Orlando Resort Tickets!","Save up to $88 on SeaWorld Orlando Resort tickets.","seaworld orlando resort, shamu, undercover tourist, orlando, florida, dolphins, aquarium, water parks, theme parks, amusement parks, roller coasters, family vacations, savings, discount tickets, save money, save time, disney world","Text Link","$19.05 USD","N/A","25-Apr-2023","<a href=""https://www.tkqlhce.com/click-101693488-12540778"" target=""_top"">Save up to $88 on SeaWorld Orlando Resort Tickets!</a><img src=""https://www.ftjcfx.com/image-101693488-12540778"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-57586589?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101693488-12540778","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","13167993","Save $10 on 3-Day New York Pass!","Save $10 on 3-Day New York Pass!  Get access to 80+ of the coolest things to do in New York City.","new york city, nyc, the big apple, seven boroughs, undercover tourist, discount tickets, travel, tourism, tourist, resorts, hotels, museums, theme parks, skip the lines, save time, save money, disney world, universal studios, new york pass","Text Link","$0.00 USD","N/A","25-Apr-2023","<a href=""https://www.kqzyfj.com/click-101693488-13167993"" target=""_top"">Save $10 on 3-Day New York Pass!  Get access to 80+ of the coolest things to do in New York City.</a><img src=""https://www.tqlkg.com/image-101693488-13167993"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.kqzyfj.com/placeholder-57586601?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101693488-13167993","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","12540773","Save up to $109 on Universal Orlando Resort Tickets!","Save up to $109 on Universal Orlando Resort tickets.","universal orlando resort, islands of adventure, universal studios, savings, save money, undercover tourist, tourism, travel destinations, attractions, theme parks, amusement parks, orlando, florida, wizarding world of harry potter, roller coasters","Text Link","$0.00 USD","N/A","25-Apr-2023","<a href=""https://www.anrdoezrs.net/click-101693488-12540773"" target=""_top"">Save up to $109 on Universal Orlando Resort tickets!</a><img src=""https://www.lduhtrp.net/image-101693488-12540773"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.kqzyfj.com/placeholder-57586588?target=_top&mouseover=N""></script>","https://www.anrdoezrs.net/click-101693488-12540773","N/A","","","","Vacation","684659","Active","English","No"
"Undercovertourist.com","","12805205","Save $25 on Los Angeles 5 Day Go Card Including Universal Studios Hollywood!","Save $25 on Los Angeles 5 Day Go Card Including Universal Studios Hollywood!","universal studios hollywood, undercover tourist, front of the line ticket, discount tickets, hollywood, los angeles, universal studios, theme parks, wizarding world of harry potter, skip the lines, save money, save time, family vacations, resort, travel, tourism, hotels, roller coasters, attractions, theme parks, amusement parks, disney world","Text Link","N/A","N/A","25-Apr-2023","<a href=""https://www.tkqlhce.com/click-101693488-12805205"" target=""_top"">Save $25 on Los Angeles 5 Day Go Card Including Universal Studios Hollywood!</a><img src=""https://www.ftjcfx.com/image-101693488-12805205"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-57586595?target=_top&mouseover=N""></script>","https://www.anrdoezrs.net/click-101693488-12805205","N/A","","","","Vacation","684659","Active","English","No"
